timestamp,run,phase,rss_mib,container_mib,probe_code,probe_lat
2026-06-04T21:18:06+00:00,califio_50,baseline,5,1,200,0.002754
2026-06-04T21:18:07+00:00,califio_50,during,8,2,200,0.002412
2026-06-04T21:18:14+00:00,califio_50,during,2927,4131,000,(28)
2026-06-04T21:18:30+00:00,califio_50,during,8166,8192,000,(28)
2026-06-04T21:20:01+00:00,califio_50,during,8156,8190,000,(28)
2026-06-04T21:21:42+00:00,califio_50,after,8159,8190,000,(28)
2026-06-04T21:22:03+00:00,califio_50,recovery_5s,8161,8190,000,(28)
2026-06-04T21:22:40+00:00,califio_50,recovery_30s,8155,8190,000,(28)
2026-06-04T21:23:13+00:00,apex_100,baseline,5,1,200,0.002837
2026-06-04T21:23:14+00:00,apex_100,during,8,3,200,0.002453
2026-06-04T21:23:21+00:00,apex_100,during,173,168,200,0.002695
2026-06-04T21:23:27+00:00,apex_100,during,393,442,000,(28)
2026-06-04T21:23:43+00:00,apex_100,during,1049,1100,000,(28)
2026-06-04T21:23:59+00:00,apex_100,during,1706,1759,000,(28)
2026-06-04T21:24:15+00:00,apex_100,during,2363,2416,200,1.065950
2026-06-04T21:24:22+00:00,apex_100,during,2417,2416,200,0.002597
2026-06-04T21:24:28+00:00,apex_100,during,2417,2416,200,0.002798
2026-06-04T21:24:34+00:00,apex_100,during,2417,2416,200,0.002678
2026-06-04T21:24:40+00:00,apex_100,during,2417,2416,200,0.002596
2026-06-04T21:24:47+00:00,apex_100,during,2417,2416,200,0.003358
2026-06-04T21:24:53+00:00,apex_100,during,2417,2416,200,0.002628
2026-06-04T21:24:59+00:00,apex_100,during,2417,2416,200,0.002696
2026-06-04T21:25:05+00:00,apex_100,during,2417,2416,200,0.002525
2026-06-04T21:25:11+00:00,apex_100,during,2417,2416,200,0.002610
2026-06-04T21:25:17+00:00,apex_100,during,2417,2416,200,0.002652
2026-06-04T21:25:23+00:00,apex_100,during,2417,2416,200,0.002562
2026-06-04T21:25:29+00:00,apex_100,during,2417,2416,200,0.002680
2026-06-04T21:25:35+00:00,apex_100,during,2417,2416,200,0.002719
2026-06-04T21:25:41+00:00,apex_100,during,2417,2416,200,0.002514
2026-06-04T21:25:47+00:00,apex_100,during,2417,2416,200,0.003062
2026-06-04T21:25:54+00:00,apex_100,during,2417,2416,200,0.002923
2026-06-04T21:26:00+00:00,apex_100,during,2417,2416,200,0.002468
2026-06-04T21:26:06+00:00,apex_100,during,2417,2416,200,0.002460
2026-06-04T21:26:12+00:00,apex_100,during,2417,2416,200,0.003023
2026-06-04T21:26:18+00:00,apex_100,during,2417,2416,200,0.002922
2026-06-04T21:26:24+00:00,apex_100,after,2417,2416,200,0.002634
2026-06-04T21:26:30+00:00,apex_100,recovery_5s,2417,2416,200,0.002731
2026-06-04T21:26:56+00:00,apex_100,recovery_30s,2417,2416,200,0.002637
